incident_id,date,date_precision,era,state_name,governing_level,state_ruling_party,state_ruling_coalition,political_alignment,exam_name,exam_category,conducting_body,body_type,area,leak_status,verified_leak_flag,leak_mechanism,action_taken,note,arrests,convictions,aspirants_affected,linked_deaths,deaths_note,source_name,source_url,confidence,data_gap_flag
PL-0011,2012-01-01,Year Placeholder,UPA (2004-May2014),Madhya Pradesh,State,BJP,NDA,Non-Aligned (Opposition Ruled),MP Food Inspector Selection Test 2012,Specialized / Departmental,Vyapam (MPPEB),State,Madhya Pradesh,Confirmed,1,OMR / Result Tampering,Arrests-FIR + Probe (CBI/SIT),Result/answer-sheet rigging to pass favoured candidates; flagged by STF in Nov 2013 as one of five 2012 recruitment tests rigged. Exact exam date not established; Jan-1-2012 placeholder used.,,,,,,Wikipedia,https://en.wikipedia.org/wiki/Vyapam_scam,Low,Pre-2014 Verified Archive
PL-0012,2012-01-01,Year Placeholder,UPA (2004-May2014),Madhya Pradesh,State,BJP,NDA,Non-Aligned (Opposition Ruled),MP Pre-PG (Post-Graduate Medical) Test 2012,Entrance Test (Higher Ed),Vyapam (MPPEB),State,Madhya Pradesh,Confirmed,1,OMR / Result Tampering,Arrests-FIR + Probe (CBI/SIT),Vyapam officials supplied photocopied model answer keys to selected candidates (answer-key rigging); flagged by STF in Nov 2013 as one of five 2012 tests rigged. Exact exam date not established; Jan-1-2012 placeholder used.,,,,,,Wikipedia,https://en.wikipedia.org/wiki/Vyapam_scam,Low,Pre-2014 Verified Archive
PL-0013,2012-01-01,Year Placeholder,UPA (2004-May2014),Madhya Pradesh,State,BJP,NDA,Non-Aligned (Opposition Ruled),MP Transport Constable Recruitment Test 2012,Specialized / Departmental,Vyapam (MPPEB),State,Madhya Pradesh,Confirmed,1,OMR / Result Tampering,Arrests-FIR + Probe (CBI/SIT),OMR sheets were altered by Vyapam employees to pass favoured candidates; CBI filed a chargesheet against 26 persons over this test. Exact exam date not established; Jan-1-2012 placeholder used.,,,,,,Outlook India,https://www.outlookindia.com/national/india-news-cbi-gives-clean-chit-to-former-mp-minister-in-vyapam-scam-news-323886,Medium,Pre-2014 Verified Archive
PL-0014,2012-01-08,Approximate Day,UPA (2004-May2014),Delhi,Central,INC,UPA,Central Body / UT,AIIMS Post-Graduate (MD/MS) Entrance Examination 2012,Entrance Test (Higher Ed),All India Institute of Medical Sciences (AIIMS),Central,Delhi,Confirmed,1,In-Exam Tech Cheating,Arrests-FIR,Gang photographed the PG entrance paper inside the exam hall using mobiles/Bluetooth hidden in shirts and relayed answers; candidates charged Rs 25-35 lakh. Delhi Police arrested 7 incl. two doctors (arrests 13 Jan 2012). Exam early Jan 2012; day approximate.,7.0,,,,,Careerindia,https://www.careerindia.com/news/2012/01/16/two-doctors-arrested-for-aims-question-paper-leak-case.html,Medium,Pre-2014 Verified Archive
PL-0015,2012-03-01,Approximate Day,UPA (2004-May2014),Karnataka,State,BJP,NDA,Non-Aligned (Opposition Ruled),Karnataka Second PU (Class 12) Board Examination 2012,School Board Exam,"Dept. of Pre-University Education, Karnataka",State,Karnataka,Confirmed,1,Treasury / Strongroom Theft,Arrests-FIR + Probe,"Physics, Maths and Biology papers were stolen from a sub-treasury strongroom in Chikmagalur district and circulated by email/fax/in person; CID arrested 10 incl. 3 teachers. Exam held March 2012; day approximate.",10.0,,,,,Careerindia,https://www.careerindia.com/news/2012/04/05/karnataka-pu-paper-leak-case-10-arrested-by-cid.html,High,Pre-2014 Verified Archive
PL-0016,2012-06-01,Approximate Day,UPA (2004-May2014),Jammu & Kashmir,State,NC,UPA Alliance,Aligned (Double Engine),Jammu & Kashmir Common Entrance Test (JKCET) 2012 - medical (MBBS/BDS),Entrance Test (Higher Ed),J&K Board of Professional Entrance Examinations (BOPEE),State,Jammu & Kashmir,Confirmed,1,Printing Press Breach,Arrests-FIR + Probe,"Medical entrance papers with answer keys were sold ahead of the exam; scam surfaced 2013 (FIR 24/2013), Crime Branch arrested the then BOPEE chairman (Nov 2013) and others, 24 beneficiaries identified, 11 candidates later convicted (1 year each). Exam mid-2012; day approximate.",,11.0,,,,Greater Kashmir,https://www.greaterkashmir.com/kashmir/bopee-scam-convicted-students-had-made-astronomical-jump-in-ranking/,High,Pre-2014 Verified Archive
PL-0017,2012-06-01,Year-Month Only,UPA (2004-May2014),Madhya Pradesh,State,BJP,NDA,Non-Aligned (Opposition Ruled),MP Pre-Medical Test (PMT) 2012,Entrance Test (Higher Ed),Vyapam (MPPEB),State,Madhya Pradesh,Confirmed,1,OMR / Result Tampering,Arrests-FIR + Probe (CBI/SIT),"Fraud combined impersonation by paid solvers with answer-key/OMR manipulation; STF found 286 candidates cleared by dishonest means and 27 MGM Medical College (Indore) students were later expelled. Exam held first week of June 2012; day approximate, 1st used.",,,286.0,,,Wikipedia,https://en.wikipedia.org/wiki/Vyapam_scam,Medium,Pre-2014 Verified Archive
PL-0018,2012-09-30,Exact Day,UPA (2004-May2014),Madhya Pradesh,State,BJP,NDA,Non-Aligned (Opposition Ruled),Vyapam Police Constable Recruitment Examination 2012,Police & Defense,Madhya Pradesh Professional Examination Board (Vyapam/MPESB),State,Madhya Pradesh,Confirmed,1,Impersonation / Solver Racket,Arrests-FIR + Probe (CBI/SIT),"Candidates arranged impersonators to sit the 30 Sep 2012 constable exam; special CBI court sentenced 11 (6 candidates, 5 impersonators) to 7 years RI each (May 2024).",,11.0,,,,India TV,https://www.indiatvnews.com/madhya-pradesh/vyapam-case-special-cbi-court-sentences-11-to-7-years-mpesb-case-madhya-pradesh-police-constable-recruitment-examination-mpre-act-2024-05-27-933724,High,Pre-2014 Verified Archive
PL-0019,2013-01-01,Year Placeholder,UPA (2004-May2014),Assam,State,INC,UPA,Aligned (Double Engine),Agricultural Development Officer & combined competitive recruitment (2013–2014),Civil Services / State PSC,Assam Public Service Commission (APSC),State,Assam,Confirmed,1,OMR / Result Tampering,Arrests-FIR + Probe (CBI/SIT),"""Cash-for-jobs"" scam: OMR sheets altered and marks enhanced for bribe-paying candidates; former APSC chairman and dozens convicted in 2024. Exam-year date approximate (advertised 2013).",,34.0,,,,The Assam Tribune,https://assamtribune.com/assam/rakesh-paul-33-others-convicted-in-apsc-cash-for-job-scam-1544892,High,Pre-2014 Verified Archive
PL-0020,2013-01-01,Year Placeholder,UPA (2004-May2014),Madhya Pradesh,State,BJP,NDA,Non-Aligned (Opposition Ruled),Vyapam Police Constable Recruitment Examination 2013,Police & Defense,Madhya Pradesh Professional Examination Board (Vyapam/MPPEB),State,Madhya Pradesh,Confirmed,1,Impersonation / Solver Racket,Arrests-FIR + Probe (CBI/SIT),"Impersonation and forgery in the 2013 constable exam; CBI court convicted 31 (incl. 12 imposters, 7 middlemen), sentencing 1 to 10 years and 30 to 7 years RI (Nov 2019). Only year of exam known, Jan placeholder.",,31.0,,,,India TV,https://www.indiatvnews.com/news/india/2013-police-constable-recruitment-vyapam-scam-cbi-court-sentence-improsinment-31-accused-566413,High,Pre-2014 Verified Archive
PL-0021,2013-04-21,Exact Day,UPA (2004-May2014),All India,Central,INC,UPA,Central Body / UT,SSC Combined Graduate Level (CGL) Examination 2013,Subordinate Recruitment,Staff Selection Commission (SSC),Central,All India,Confirmed,1,Digital / WhatsApp Pre-Exam Leak,Retest + Arrests-FIR,Question paper leaked and solved off-site; Delhi Crime Branch raided a Pooth Kalan (Delhi) house and arrested 9 mid-solving (incl. a Delhi Police constable who had topped the SI exam). The exam was later scrapped and re-exams ordered (held 2014). Date is the Tier-1 exam/leak date.,9.0,,,,,SSC Portal,https://sscportal.in/news/si-exam-topper-caught-during-ssc-paper-leak-case,High,Pre-2014 Verified Archive
PL-0022,2013-07-07,Exact Day,UPA (2004-May2014),Madhya Pradesh,State,BJP,NDA,Non-Aligned (Opposition Ruled),MP Pre-Medical Test (PMT) 2013,Entrance Test (Higher Ed),Vyapam (MPPEB),State,Madhya Pradesh,Confirmed,1,Impersonation / Solver Racket,Arrests-FIR + Probe (CBI/SIT),"On the night before the 7 July 2013 exam Indore police detained 20 out-of-state men hired to impersonate candidates, exposing the racket; a mastermind's list of 317 candidates was later seized and the STF was constituted on 26 Aug 2013.",20.0,,,23.0,"SCAM-WIDE, not this single exam: the MP SIT acknowledged 23 'unnatural' deaths of people linked to the Vyapam scam (~7 suicides, ~11 road accidents, ~3 alcohol-related illness); opposition/some press put it at 40-46. CBI probed 24 such deaths and ruled out foul play in every one it examined. Deaths span the whole 2009-2015 scam; attributed to the 2013 PMT row only for indexing. Mostly not suicides and highly contested. Sources: The News Minute, IBTimes, Business Standard.",Careers360,https://news.careers360.com/vyapam-scam-five-sentenced-imprisonment-for-fraud-at-mp-medical-entrance-test-in-2013/amp,High,Pre-2014 Verified Archive
PL-0023,2013-10-26,Exact Day,UPA (2004-May2014),Rajasthan,State,INC,UPA,Aligned (Double Engine),RAS (Rajasthan Administrative Service) Preliminary Examination 2013,Civil Services / State PSC,Rajasthan Public Service Commission (RPSC),State,Rajasthan,Confirmed,1,Printing Press Breach,Exam cancelled + Arrests-FIR + Probe (SIT),RAS-2013 prelims (26 Oct 2013) scrapped after the Rajasthan Police SOG found ~20 of the top 50 selected candidates (incl. the mastermind's wife) had accessed the leaked paper; arrests followed. Date is the exam/leak date.,,,,1.0,Not an aspirant: the alleged mastermind of the leak died under suspicious circumstances during a custody transfer (Varanasi->Jaipur) in 2014; his family alleged murder. No suicide. Source: Careers360.,Careers360,https://news.careers360.com/rajasthan-ras-paper-leak-mastermind-dies-under-suspicious-circumstances-family-alleges-murder,High,Pre-2014 Verified Archive
PL-0024,2014-03-05,Exact Day,UPA (2004-May2014),Manipur,Central,INC,UPA,Central Body / UT,CBSE Class 12 Physics Board Examination 2014,School Board Exam,Central Board of Secondary Education (CBSE),Central,Manipur (Imphal),Confirmed,1,Digital / WhatsApp Pre-Exam Leak,Exam cancelled + Retest + Arrests-FIR,All three sets of the Class 12 Physics paper were leaked a day before the 5 Mar 2014 exam and sold in Manipur; CBSE cancelled the paper statewide and held a re-test on 2 Apr 2014. An FIR was registered. Day known.,,,,,,India TV News,https://www.indiatvnews.com/news/india/latest-news-cbse-class-12-physics-paper-leaked-manipur-retest-34302.html,High,Pre-2014 Verified Archive
PL-0025,2014-06-29,Exact Day,NDA (May2014-now),Delhi,State,AAP,Regional / Third Front,Non-Aligned (Opposition Ruled),"DSSSB Head Clerk (Grade II DASS, Post Code 90/09) Recruitment, Tier-I",Subordinate Recruitment,Delhi Subordinate Services Selection Board (DSSSB),State,Delhi (NCT of Delhi),Alleged,0,Impersonation / Solver Racket,Exam cancelled + Probe,"Complaints (Oct 2014-Mar 2015) alleged leakage of question papers, mass cheating and impersonation in the Tier-I/Tier-II exams; an inquiry committee found systemic irregularities and the selection was cancelled on 15 Mar 2016. The Supreme Court upheld the cancellation on 3 Mar 2021.",,,,,,SCC Online (Supreme Court judgment coverage),https://www.scconline.com/blog/post/2021/03/05/recruitment-to-public-services-must-command-public-confidence-supreme-court-upholds-cancellation-of-dsssb-head-clerk-selection-process-in-light-of-systematic-irregularities/,Medium,Post-2014 Unconfirmed Claim
PL-0026,2015-03-29,Exact Day,NDA (May2014-now),Uttar Pradesh,State,SP,Regional / Third Front,Non-Aligned (Opposition Ruled),UPPCS Preliminary Examination 2015,Civil Services / State PSC,Uttar Pradesh Public Service Commission (UPPSC),State,Uttar Pradesh (Lucknow),Confirmed,1,Digital / WhatsApp Pre-Exam Leak,Exam cancelled+Arrests-FIR,Question paper was photographed about an hour before the test at a Lucknow centre and circulated on WhatsApp; CM ordered cancellation and 3 people were arrested.,3.0,,450000.0,,,The Tribune,https://www.tribuneindia.com/news/archive/nation/uppcs-exam-cancelled-after-paper-leak-three-arrested-60480,High,Standard Verified
PL-0027,2015-05-03,Exact Day,NDA (May2014-now),All India,Central,BJP,NDA,Central Body / UT,AIPMT 2015 (All India Pre-Medical Test),Entrance Test (Higher Ed),CBSE,Central,All India,Confirmed,1,In-Exam Tech Cheating,Exam cancelled + Retest + Arrests-FIR,"Bluetooth/micro-SIM answer-key racket intercepted by Haryana Police in Rohtak; Supreme Court cancelled the May 3 exam on 15 June 2015 and ordered a retest, held 25 July 2015. Leak originated in Haryana.",,,600000.0,,,Republic World,https://www.republicworld.com/education/entrance-exams/when-supreme-court-cancelled-aipmt-2015-a-reminder-for-neet-ug-integrity-amid-paper-leak-row,High,Standard Verified
PL-0028,2015-11-14,Exact Day,NDA (May2014-now),Haryana,State,BJP,NDA,Aligned (Double Engine),HTET Level-3 (Haryana Teacher Eligibility Test),Teacher Recruitment / TET,Haryana Board of School Education (HBSE),State,Haryana (Jind),Confirmed,1,Digital / WhatsApp Pre-Exam Leak,Exam cancelled + Arrests-FIR,Board cancelled the Level-3 exam the same day after a leak surfaced from Jind; the leaked paper matched the original. Five persons arrested.,5.0,,137000.0,,,The Tribune,https://www.tribuneindia.com/news/archive/haryana/htet-paper-leaked-in-jind-exam-cancelled-158218,High,Standard Verified
PL-0029,2016-01-01,Year Placeholder,NDA (May2014-now),West Bengal,State,AITC,Regional / Third Front,Non-Aligned (Opposition Ruled),State Level Selection Test (SLST) 2016 teacher & Group C/D recruitment,Teacher Recruitment / TET,West Bengal School Service Commission (WBSSC),State,West Bengal,Confirmed,1,OMR / Result Tampering,Exam cancelled + Probe (CBI/SIT),"OMR-sheet manipulation and appointments beyond vacancies; Calcutta HC (upheld by Supreme Court in 2025) voided about 25,752 appointments. Year-only date.",,,25752.0,,,DD News,https://ddnews.gov.in/en/west-bengal-teacher-recruitment-scam-calcutta-hc-declares-2016-ssc-recruitment-null-and-void-orders-fresh-appointments/,High,Standard Verified
PL-0030,2016-03-06,Exact Day,NDA (May2014-now),Uttarakhand,State,INC,UPA,Non-Aligned (Opposition Ruled),Village Panchayat Development Officer (VPDO/VDO) recruitment exam,Subordinate Recruitment,Uttarakhand Subordinate Service Selection Commission (UKSSSC),State,Uttarakhand,Confirmed,1,Printing Press Breach,Exam cancelled + Probe (ED/PMLA) + Arrests-FIR,VPDO exam held 6 Mar 2016 was cancelled on 1 Dec 2017; later probes found the paper was leaked via the printing contractor and sold for Rs 10-15 lakh per paper. Included in a 2024 ED money-laundering prosecution naming 17 accused.,17.0,,,,,Prokerala (PTI),https://www.prokerala.com/news/articles/a1588652.html,Medium,Standard Verified
PL-0031,2016-05-01,Year-Month Only,NDA (May2014-now),All India,Central,BJP,NDA,Central Body / UT,NEET-UG 2016 (Phase II),Entrance Test (Higher Ed),CBSE,Central,All India,Denied,0,Hoax / Fake Paper Scam,None reported,Inter-state leak allegations around the 2016 NEET Phase II surfaced but were not confirmed nationwide; no nationwide retest ordered. Month approximate (1st used).,,,,,,Careers360 (NEET leak history),https://medicine.careers360.com/articles/how-many-times-neet-paper-leaked,Medium,Post-2014 Unconfirmed Claim
PL-0032,2017-02-05,Exact Day,NDA (May2014-now),Bihar,State,JD(U),Mahagathbandhan,Non-Aligned (Opposition Ruled),BSSC 1st Inter-Level Combined (Clerical-grade) Competitive Exam,Subordinate Recruitment,Bihar Staff Selection Commission (BSSC),State,Bihar (Patna) / Jharkhand (arrest),Confirmed,1,Digital / WhatsApp Pre-Exam Leak,Exam cancelled + Arrests-FIR + Probe (SIT),"The clerical-grade recruitment paper was leaked on WhatsApp; the state cancelled the exam and an SIT arrested the BSSC chairman (a senior IAS officer) along with several relatives and others, around 30 people in total.",30.0,,,,,The Tribune (PTI),https://www.tribuneindia.com/news/archive/nation/paper-leak-case-bihar-staff-service-commission-chairman-arrested-in-jharkhand-368898,High,Standard Verified
PL-0033,2017-05-07,Exact Day,NDA (May2014-now),All India,Central,BJP,NDA,Central Body / UT,NEET-UG 2017,Entrance Test (Higher Ed),CBSE,Central,All India,Alleged,0,Hoax / Fake Paper Scam,Arrests-FIR,"Uttarakhand/Bihar inter-state racket promised leaked papers for Rs 10-30 lakh; authorities said many ""papers"" sold were fake and there was no confirmed systemic leak. Leak claims centred on Bihar.",,,,,,Careers360 (NEET leak history),https://medicine.careers360.com/articles/how-many-times-neet-paper-leaked,Medium,Post-2014 Unconfirmed Claim
PL-0034,2017-07-16,Exact Day,NDA (May2014-now),Haryana,State,BJP,NDA,Aligned (Double Engine),HCS (Judicial Branch) Preliminary Examination 2017,Civil Services / State PSC,Punjab & Haryana High Court,State,Haryana,Confirmed,1,Printing Press Breach,Exam cancelled + Arrests-FIR + Probe,"A High Court committee found the paper was leaked and the prelims (109 judicial posts) were scrapped; the then Registrar (Recruitment) and two others were later convicted, two getting five-year jail terms in 2024.",,3.0,,,,Careers360,https://news.careers360.com/2017-hcs-exam-paper-leak-case-delhi-court-sentences-punjab-haryana-judicial-hc-ex-registrar-5-year-jail,High,Standard Verified
PL-0035,2017-07-24,Exact Day,NDA (May2014-now),Uttar Pradesh,State,BJP,NDA,Aligned (Double Engine),UP Police Inspector (Sub-Inspector/Inspector) Online Recruitment Test 2017,Police & Defense,UP Police Recruitment and Promotion Board (UPPRPB),State,Uttar Pradesh,Confirmed,1,Digital / WhatsApp Pre-Exam Leak,Exam cancelled+Probe (STF),"The online recruitment test for 3,307 inspector posts, scheduled for 25-26 July 2017, was postponed/cancelled after the question paper went viral on WhatsApp; DGP ordered an STF probe.",,,120000.0,,,Ground Report,https://www.groundreport.in/education/how-many-exam-papers-leaked-in-yogi-govt-rule/,Medium,Standard Verified
PL-0036,2017-10-29,Exact Day,NDA (May2014-now),Delhi,State,AAP,Regional / Third Front,Non-Aligned (Opposition Ruled),DSSSB Primary Teacher (PRT) Recruitment Exam for MCD/municipal schools,Teacher Recruitment / TET,Delhi Subordinate Services Selection Board (DSSSB),State,Delhi (NCT of Delhi),Confirmed,1,Digital / WhatsApp Pre-Exam Leak,Exam cancelled + Retest + Arrests-FIR,"Question papers of the PRT exam held on 29 Oct 2017 were leaked amid mass-cheating complaints; Delhi Police registered an FIR the same day and the Lt Governor cancelled the exam on the basis of a police report, directing DSSSB to re-conduct it. Deputy CM separately sought a CBI probe.",,,70000.0,,,The Tribune,https://www.tribuneindia.com/news/archive/delhi/cm-urges-lg-to-cancel-dsssb-papers-hold-exams-again-507254,High,Standard Verified
PL-0037,2018-02-21,Exact Day,NDA (May2014-now),All India,Central,BJP,NDA,Central Body / UT,SSC CGL 2017 Tier-II,Subordinate Recruitment,SSC,Central,All India,Confirmed,1,In-Exam Tech Cheating,Arrests-FIR + Probe (CBI/SIT),Answer key of the 21 Feb 2018 Tier-II paper went viral before the exam start time; nationwide candidate protests followed. CBI booked 17 (10 Sify Technologies employees who ran exam centres + 7 candidates); SC later refused to scrap the exam.,3.0,,,,,The Tribune,https://www.tribuneindia.com/news/archive/nation/sify-employees-among-17-booked-in-ssc-paper-leak-case-593733,High,Standard Verified
PL-0038,2018-03-26,Exact Day,NDA (May2014-now),All India,Central,BJP,NDA,Central Body / UT,CBSE Class 12 Economics board exam 2018,School Board Exam,CBSE,Central,All India,Confirmed,1,Digital / WhatsApp Pre-Exam Leak,Retest + Arrests-FIR,"Question paper photographed and circulated on WhatsApp before the exam; CBSE re-conducted the paper on 25 April 2018. Delhi Police arrested teachers, a tutor/coaching owner and bank officials. Leak traced to Delhi and Himachal Pradesh.",,,,,,Careers360,https://news.careers360.com/cbse-paper-leak-class-12-economics-re-exam-april-25-class-10-maths-likely-july/amp,High,Standard Verified
PL-0039,2018-03-28,Exact Day,NDA (May2014-now),All India,Central,BJP,NDA,Central Body / UT,CBSE Class 10 Mathematics board exam 2018,School Board Exam,CBSE,Central,All India,Confirmed,1,Digital / WhatsApp Pre-Exam Leak,Arrests-FIR,Class 10 Maths paper leaked/circulated before the exam; CBSE ultimately decided against a re-test after finding no unusual score pattern. Arrests linked to the same Delhi/Himachal network as the Economics leak.,,,,,,Careers360,https://news.careers360.com/cbse-paper-leak-class-12-economics-re-exam-april-25-class-10-maths-likely-july/amp,High,Standard Verified
